time_s,x,y,z,qx,qy,qz,qw,target_fz
7.921624,0.014008625,-0.028249603,0.042090386,0.547706389645,0.067402378825,-0.179439316683,0.814417682580,-3.960522
7.988327,0.014072609,-0.027166845,0.043100783,0.546361355592,0.067555431132,-0.177224443801,0.815792270961,-3.740100
8.055255,0.013827202,-0.026846785,0.043087845,0.544485653533,0.069411188935,-0.179703506446,0.816348032225,-4.418964
8.088283,0.013888331,-0.026416198,0.043476644,0.543035819785,0.069270985809,-0.178296214094,0.817633224004,-3.990671
8.154997,0.013697696,-0.024859796,0.043979584,0.540538907804,0.070902251404,-0.175642852508,0.819719554640,-3.813626
8.255147,0.012807348,-0.021354280,0.042505623,0.532562896226,0.078795399125,-0.171154850078,0.825150934032,-3.930349
8.355152,0.011702742,-0.017761360,0.040537398,0.525599952693,0.088073342443,-0.168121724742,0.829290577391,-3.452821
8.455406,0.010987565,-0.016136819,0.039150437,0.520835476376,0.093982816185,-0.167874041035,0.831694621335,-3.415601
8.522890,0.010610583,-0.015011970,0.038737410,0.518107343417,0.097123596690,-0.167436333539,0.833124757689,-3.890863
8.655650,0.010006663,-0.013101978,0.039039582,0.516411163810,0.101780586706,-0.168234302853,0.833461121712,-3.230328
8.722220,0.010037071,-0.012519173,0.039316445,0.514974697366,0.102451332448,-0.166800076954,0.834555282699,-3.244886
8.755461,0.010004507,-0.012237713,0.039597558,0.514946613867,0.102618909136,-0.166774306715,0.834557172981,-3.217896
8.822142,0.009814027,-0.011922889,0.039627516,0.513758912641,0.103830845488,-0.168281662794,0.834836641011,-3.143290
8.855644,0.009786770,-0.012008012,0.039570918,0.512635248918,0.103968818081,-0.169187984398,0.835326889529,-3.121560
8.922251,0.009725403,-0.012079585,0.039766441,0.512153528106,0.104371565932,-0.170894112211,0.835224845347,-3.421798
8.988923,0.009888355,-0.011520667,0.040531745,0.510866982382,0.103362253925,-0.168661884932,0.836590903218,-3.392397
9.022315,0.009943084,-0.011627408,0.040592540,0.509841921917,0.103070323848,-0.168685052063,0.837247320813,-3.580875
9.088960,0.009769796,-0.011525183,0.040732332,0.508275974575,0.103541734004,-0.170406959462,0.837792403377,-3.628727
9.155846,0.009742226,-0.010750440,0.041611812,0.506531430570,0.103241839224,-0.169359494470,0.839097368672,-3.265377
9.189102,0.009647661,-0.010879319,0.041782630,0.504701450892,0.103147274726,-0.170859237069,0.839907260531,-3.166944
9.255813,0.009783292,-0.010429527,0.042942958,0.502993694268,0.101831372862,-0.170050338049,0.841255370002,-2.993498
9.322483,0.009932281,-0.010721394,0.043376281,0.499422161562,0.100686699935,-0.171012942823,0.843323346282,-2.786325
9.389142,0.009802648,-0.010517179,0.043314211,0.497508655108,0.101538533657,-0.172614199105,0.844025712015,-2.117119
9.455970,0.009609707,-0.010771264,0.043127297,0.493822369929,0.102391143685,-0.175659303592,0.845458059110,-2.104251
9.522650,0.009890692,-0.010671201,0.044072859,0.492327009394,0.100053729588,-0.174333920519,0.846883139030,-3.801857
9.556013,0.010187655,-0.010284023,0.044594860,0.489279938638,0.097973295893,-0.171214281128,0.849524599336,-4.318807
9.622688,0.010926615,-0.009626079,0.045141745,0.479718730772,0.092346528672,-0.163649831742,0.857065219548,-3.148347
9.656046,0.011286279,-0.009253125,0.044529789,0.476363074558,0.090984443308,-0.160244910828,0.859721827585,0.101883
9.722809,0.011617671,-0.009228381,0.042378354,0.473637169484,0.090633618863,-0.157844705778,0.861706694689,1.878580
9.789692,0.011539743,-0.011100534,0.040021819,0.478343007831,0.090881038373,-0.161882629312,0.858325473262,2.523811
9.822899,0.011800456,-0.012431807,0.039618414,0.481598995571,0.088880091491,-0.162341546712,0.856625915445,2.595139
9.889629,0.012617211,-0.015405126,0.039786013,0.488697865051,0.083579417793,-0.162878670727,0.853029551797,1.955563
9.956302,0.013200809,-0.018599589,0.040016259,0.498153644465,0.078863483054,-0.166239502756,0.847341681537,1.216802
10.023113,0.013929365,-0.020427386,0.040525382,0.503302710718,0.072494331953,-0.161108503104,0.845857555056,1.328660
10.056336,0.013797635,-0.021215233,0.039540895,0.505560943409,0.072681515872,-0.162595008826,0.844208737727,1.468254
10.122989,0.013835231,-0.021448063,0.038227304,0.507057963462,0.071229643510,-0.156832153557,0.844524857648,1.911506
10.156444,0.013468607,-0.021909914,0.036973783,0.507015290929,0.072739386946,-0.159076554937,0.844001851906,2.210027
10.223283,0.013480312,-0.022624736,0.036441326,0.508912675796,0.070683317832,-0.155731338732,0.843658406662,2.068936
10.290425,0.013614307,-0.023443779,0.036909871,0.513255914343,0.067719387353,-0.154195113913,0.841549949684,1.819135
10.356586,0.013721693,-0.025008960,0.036147828,0.514141986953,0.065241508454,-0.153952915480,0.841249108553,1.748657
10.423233,0.013645813,-0.025909299,0.035575169,0.515319172091,0.062529633895,-0.153378684142,0.840839565560,1.620070
10.490360,0.013487232,-0.026682646,0.034825683,0.515952020574,0.060036663897,-0.152103190831,0.840864870709,1.699946
10.556688,0.013307062,-0.028569805,0.032937015,0.515269131377,0.058703159171,-0.154113190244,0.841011763262,1.647636
10.623437,0.013361544,-0.029919254,0.032556748,0.518680625485,0.055503956267,-0.153125029780,0.839310696250,0.123138
10.690260,0.013365664,-0.031217893,0.032063939,0.520067326473,0.052628572134,-0.153199355870,0.838623972166,-0.507129
10.723590,0.013360370,-0.031925985,0.031777841,0.520593584026,0.051362971464,-0.153387125663,0.838341550392,-0.383443
10.790513,0.013458758,-0.033613362,0.031335972,0.520979794920,0.048504623480,-0.154210186848,0.838120858265,-0.212399
10.857330,0.013511591,-0.034954798,0.030869834,0.521416279162,0.046779674460,-0.154908196484,0.837818701477,-0.724254
10.923727,0.013488320,-0.035581060,0.030553535,0.521083543901,0.045707941799,-0.154496629479,0.838160793531,0.061813
10.990276,0.013530185,-0.036310331,0.030179602,0.521724359598,0.044481798090,-0.153471334677,0.838016474583,-0.832422
11.023743,0.013448147,-0.036900990,0.029804842,0.522194135183,0.044446417833,-0.155372641840,0.837375150867,-0.261063
11.090368,0.013278556,-0.037678506,0.028832705,0.521250755782,0.045102753445,-0.157023624902,0.837619825727,-1.030038
11.157276,0.013334869,-0.037803063,0.029098546,0.522934907718,0.043085323289,-0.153981992831,0.837240875191,-1.438967
11.190550,0.013447585,-0.037872284,0.029684880,0.524202317170,0.040915919174,-0.151522119162,0.837005893430,-1.810396
11.257243,0.013285490,-0.038692341,0.029101134,0.524794368579,0.040812283233,-0.152931192252,0.836383451942,-2.836745
11.290570,0.013435809,-0.038992331,0.029357032,0.526247410282,0.038801885650,-0.150534030511,0.836000946470,-3.387468
11.357305,0.013359224,-0.039545985,0.029154456,0.528176902310,0.037108732403,-0.149452880479,0.835054452334,-2.830425
11.423954,0.013259385,-0.040303785,0.028606221,0.527209092229,0.035644212629,-0.149206443047,0.835773594061,-3.562074
11.490670,0.013309231,-0.041270526,0.028678678,0.529391538245,0.032749582748,-0.147639031984,0.834790261263,-3.612588
11.523994,0.013266892,-0.041522665,0.028949366,0.531571390104,0.031581841985,-0.147406778644,0.833490063582,-3.632833
11.590858,0.013252060,-0.042482347,0.028653944,0.532800819867,0.029510726315,-0.146107043352,0.833009684976,-3.650651
11.657628,0.013101031,-0.042602453,0.028598877,0.533994325231,0.027829782825,-0.143651050938,0.832730412182,-3.636928
11.690832,0.013021458,-0.043162526,0.028218712,0.533398855441,0.026818056891,-0.143596970075,0.833154465285,-3.611802
11.757626,0.012892621,-0.043552425,0.027814374,0.535267242462,0.025722962867,-0.141846874262,0.832290077191,-3.733801
11.824361,0.012834410,-0.044640109,0.027773545,0.536097284377,0.022205283522,-0.140695738246,0.832052484106,-3.508706
11.857788,0.012791753,-0.044558020,0.028239620,0.538002273774,0.020553181591,-0.138782441663,0.831186233059,-3.808192
11.924450,0.012611203,-0.045661481,0.027263439,0.537724604941,0.018919149371,-0.138074482005,0.831522550775,-3.527173
11.991121,0.012393963,-0.045972634,0.026577496,0.539036338586,0.017634156553,-0.137551636481,0.830787824603,-3.375209
12.024623,0.012257179,-0.046041366,0.025824703,0.538721582267,0.017970679006,-0.137169528754,0.831047911902,-3.119351
12.091178,0.011972187,-0.046558729,0.024332219,0.539120876023,0.017988214804,-0.139559252827,0.830390462442,-3.215405
12.157871,0.011505382,-0.046058396,0.021914262,0.538646053085,0.020369843981,-0.138666301798,0.830793088379,-3.173620
12.224581,0.010931288,-0.044587163,0.018789121,0.535704559844,0.024684375651,-0.137242648781,0.832811960479,-2.858246
12.258047,0.010664795,-0.043899227,0.017972203,0.534438350798,0.025186315626,-0.136273954942,0.833768977539,-3.019418
12.324667,0.010128541,-0.042960344,0.015729618,0.531840554917,0.028357873953,-0.135789649687,0.835405665631,-2.722285
12.391411,0.009763215,-0.042919198,0.014214384,0.531566308779,0.029550750136,-0.135847534823,0.835529448805,-2.747479
12.424697,0.009631367,-0.042642132,0.013781432,0.530876605925,0.029504459298,-0.134875720734,0.836126818204,-2.739937
12.491506,0.009283980,-0.041746156,0.012578249,0.530310744504,0.030572979526,-0.132932438785,0.836758491983,-2.743486
12.558479,0.008963967,-0.041272249,0.010812354,0.527608990604,0.031708763040,-0.131349626071,0.838671916253,-2.739118
12.591547,0.008803192,-0.041022724,0.010127902,0.526738660175,0.032164071974,-0.131408285729,0.839192301438,-2.750191
12.658187,0.008488570,-0.040791223,0.008930721,0.526820708096,0.032420573002,-0.131491163570,0.839117942765,-2.952279
12.725782,0.008268648,-0.040075228,0.008082002,0.526537945185,0.032279812286,-0.128310389406,0.839792980424,-2.947337
12.791599,0.007972257,-0.040751952,0.006118149,0.524978106834,0.033053498771,-0.131044857332,0.840317022873,-2.749142
12.858316,0.007781965,-0.040832983,0.005448931,0.525217617470,0.032452639200,-0.131389112532,0.840137001694,-2.957884
12.925030,0.007654488,-0.040463433,0.005245072,0.525696820080,0.031425488620,-0.128720653019,0.840289405806,-3.026157
12.959188,0.007541840,-0.040489406,0.004800323,0.527495194737,0.031996627221,-0.129516506185,0.839017586229,-3.015731
13.025391,0.007400658,-0.040423365,0.004405834,0.527466700692,0.030857385208,-0.127720281908,0.839353460128,-2.955664
13.092044,0.007243143,-0.040340874,0.004482407,0.529337877951,0.029027249349,-0.126519617940,0.838422098968,-2.973359
13.158895,0.007170244,-0.039811022,0.005462523,0.532314367911,0.025739195547,-0.121352802460,0.837408147120,-2.996073
13.192254,0.007030287,-0.040211029,0.004589630,0.532526332911,0.026671813714,-0.123341709222,0.836953488478,-2.707983
